,Producto,Marca,Cantidad(g),Caloria(kcal),Grasa(g),Carbohidrato(g),Proteina(g)
258,Yogur Descremado con Copos de Maíz,Dia,160 ,96,0.0,17.0,7.0
259,Milanesas de Soja Rellenas con Calabaza,Dia,85 ,149,2.2,23.0,9.0
260,Galletas de Arroz Integral con Sal,Rincon Integral,30 ,112,0.7,24.0,2.4
261,Magdalenas Rellenas con Dulce de Leche,Don Satur,32 ,125,4.9,19.0,1.8
262,Postre Vainilla con Dulce de Leche ,Ilolay,120 ,156,3.5,27.0,4.2
263,Helado Dulce de Leche con Brownies,Dia,60 ,115,5.1,16.0,1.9
264,Madalenas Rellenas con Dulce de Leche ,Dia,32 ,129,6.5,15.0,2.5
265,Barra de Cereal Frutos del Bosque,3 Arroyos,25 ,99,2.8,18.0,1.3
266,Postre Light Sabor Dulce de Leche,Exquisita,120 ,74,1.7,11.0,3.8
267,Galletas de Arroz Integral con Sal,Dhum Crack ,33 ,107,0.9,22.0,2.8
268,Galletas de Arroz Integral sin Sal,Greating,36 ,122,0.8,26.0,2.6
269,Galletas de Arroz Integral Dulces Light,Greating,por 100 ,122,0.8,26.0,2.6
270,"Galletitas de Chia, Sésamo y Lino",Marbe,30 ,108,4.0,15.0,3.0
271,Bizcochitos Integrales con Semillas de Girasol,Granix,30 ,145,7.5,16.0,3.3
272,Caldo de Verduras Reducido en Sodio ,Knorr,5 ,15,0.0,3.3,0.0
273,Medallones de Pollo Jamon y Queso,Paladini,130 ,261,13.0,20.0,17.0
274,Medallones de Carne Vacuna con Soja,Fela,57 ,124,9.0,3.0,9.0
275,Caldo de Verduras Light sin Calorias,Knorr,3 ,0,0.0,0.0,0.0
276,Yogs Light con Trozos de Frutilla,SanCor,180 ,94,0.0,17.0,6.1
277,Puré de Tomate Albahaca y Ajo,Dia,60 ,20,0.0,3.2,1.1
278,Paté de Foie a la Crema,Swift,10 ,22,2.0,0.0,1.0
279,Barra de Cereal Yoghurt Frutilla Light ,Cereal Mix,26 ,89,2.4,18.0,1.5
280,"Barra de Maní, Almendra y Miel",Egran,40 ,190,10.0,20.0,5.0
281,Budín Coco con Dulce de Leche,Relife,70 ,116,4.0,11.0,9.0
282,Lomo de Cerdo Cocido y Ahumado,Jumbo,40 ,40,0.9,0.0,9.1
283,Gallitas Dulces de Arroz Sabor Chocolate,Gallo,30 ,107,0.0,25.0,1.7
284,Ravioles de Ricotta Mozzarella y Jamón,Mendia,por 100 ,234,3.4,42.0,8.8
285,Dulce de Leche sin Azúcar Agregada,ENTRE NUTS,20 ,43,0.7,7.3,1.4
286,Alfajor Relleno con Dulce de Frutilla,Dantelli,40 ,143,6.0,22.0,0.3
287,Pan de Papa con Queso Gratinado ,Rey Oro ,80 ,217,5.9,34.0,7.0
288,Pan Negro con Semillas de Lino,Noly,50 ,105,1.6,20.0,3.8
289,Alfajor Ron y Crocante de Maní,Entre Dos,60 ,227,8.8,33.0,4.0
290,Crema de Leche Original para Batir,Las Tres Niñas,15ml ,51,5.4,0.0,0.0
291,"Medallón de Garbanzos, Zanahoria y Jengibre",Via Veg,90 ,136,1.3,25.0,6.0
292,Barra de Cereal Lemon Pie Light,Pleny,21 ,65,2.2,10.0,1.5
293,Anillitos de Cereal Sabor a Frutas,Pura Vida,30 ,113,0.0,27.0,1.3
294,Galletas de Arroz Orgánico sin Sal ,Dos Hermanos,30 ,110,0.5,24.0,2.2
295,Pan Dulce con Chips de Chocolate,Bimbo,80 ,332,17.0,38.0,6.3
296,Galletas de Salvado sin Sal Agregada,Granix,30 ,124,3.9,19.0,3.3
297,Flow Cereal Barra de Frutos Secos,Georgalos,30 ,140,7.6,15.0,3.2
298,Yogur Entero Firme Dulce de Leche,Ilolay,190 ,205,5.8,30.0,8.2
